name,image,provinsi,location,description,sektorIndustri,modelBisnis,ukuranTim,pendanaan,keahlian,contact
Eldinams Food and Cookies,https://drive.pastibisa.app/1706024978_65afe012eb360.png,YOGYAKARTA,"Angkringan Matakupi, Jl. Purwanggan No.14, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55112","Eldinams Food and Cookies, dipimpin oleh Nila Rosnilawati, menyajikan pepes ikan dengan cita rasa yang kaya. Setiap pepes dibuat dari bahan-bahan pilihan dan resep tradisional, memastikan pengalaman kuliner yang autentik dan lezat.",FnB,B2C,3,"8,000,000",-,0813-2881-5790
DWI PERCA,https://drive.pastibisa.app/1706025009_65afe0313b013.png,YOGYAKARTA,"Jl. Ki Mangunsarkoro No.32, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111","DWI PERCA, yang didirikan oleh Dwi Hartini, mengkhususkan diri dalam produksi kain perca yang kaya warna dan tekstur. Dengan perpaduan kreativitas dan keahlian, DWI PERCA mengubah potongan-potongan kain menjadi karya seni yang indah dan multifungsi.",Textile,B2C,3,"5,000,000",-,0882-2761-9376
Afikry,https://drive.pastibisa.app/1706022288_65afd5901d673.png,GORONTALO,"Jl. Lupoyo, Dulomo Sel., Kec. Kota Utara, Kota Gorontalo, Gorontalo 96123","Dipimpin oleh Kartin Arsyad, Afikry adalah perusahaan yang berdedikasi dalam menyediakan Kacang Bawang berkualitas tinggi. Dengan penekanan pada rasa autentik dan kualitas premium, Afikry berkomitmen untuk memberikan kepuasan pada setiap gigitan.",FnB,B2C,2,"10,000,000",-,0821-8876-4447
ROTIN FOOD,https://drive.pastibisa.app/1706022363_65afd5db7d541.png,YOGYAKARTA,Blunyahrejo Tr.ll/1006 RT/RW 15/05 Karangwaru Tegalrejo Yogyakarta KOTA YOGYAKARTA,"Jasa pembuatan seserahan ,hantaran,mahar,buket,parcel pernikahan .rias dan industri roti",FnB,B2C,2,"4,000,000",-,081-846-9500
D Inayah,https://drive.pastibisa.app/1706022226_65afd5529cdcc.png,SULAWESI SELATAN,"Tamanyeleng, Barombong, Gowa Regency, South Sulawesi 90225","Dipimpin oleh Nurhalima, D Inayah adalah merek yang terkenal dengan Snack enak dan inovatif. Berkomitmen untuk kreativitas dan kualitas, D Inayah menawarkan varian rasa yang akan memuaskan setiap selera.",FnB,B2C,4,"3,000,000",-,0853-9789-5662
Kian Bagus Kitchen,https://drive.pastibisa.app/1706021868_65afd3ec94a34.png,RIAU,"Stik wortel dan stik bayam (NIB, PIRT).","Dengan Ewi Sarinawati di garis depan, Kian Bagus Kitchen telah mengukir nama dalam industri makanan sehat dengan Stick Bayam yang bergizi. Setiap produk adalah bukti komitmen mereka terhadap kesehatan dan kelezatan.",FnB,B2C,1,"9,000,000",-,0831-8623-3226
GOMARYAM,https://drive.pastibisa.app/1706022194_65afd53299f84.png,JAWA BARAT,"No.111 RT 05/01 kel. Manggahang Baleendah, Bandung, Jawa Barat","Dipimpin oleh DINEU DINUL, GOMARYAM adalah kreatif dalam membuat SOUVENIR AKSESORIS yang unik dan menarik. Dengan fokus pada desain yang orisinal dan berkualitas, GOMARYAM adalah pilihan tepat untuk mengabadikan momen spesial.",Production,Hybrid B2B and B2C,1,"3,500,000",-,Ig: gomaryam.id
Rumah Cuci,https://drive.pastibisa.app/1706021831_65afd3c7df21f.png,SULAWESI SELATAN,"Ujung Baru, Soreang, Parepare, 91131","Di bawah kepemimpinan Wahyuni Jabri, Rumah Cuci menawarkan layanan Laundry dengan standar tertinggi. Dengan penekanan pada kebersihan dan perhatian terhadap detail, Rumah Cuci berkomitmen untuk memberikan layanan terbaik.",Services,B2C,2,"5,000,000",-,0852-9958-3593
BERBAS CAKE,https://drive.pastibisa.app/1706021791_65afd39fe131b.png,JAWA BARAT,"Jl. Griya Gandasari Blk. G No.9, Mangkurayat, Kec. Cilawu, Kabupaten Garut, Jawa Barat 44181","Heli Herliani, seorang pengusaha berbakat, memimpin BERBAS CAKE dalam menghasilkan BOLU yang lezat dan terbuat dari bahan-bahan terpilih. Setiap kue adalah perpaduan sempurna antara tradisi dan inovasi.",FnB,B2C,3,"5,000,000",-,0896-5512-0459
Tina Collection,https://drive.pastibisa.app/1706021750_65afd3760f205.png,SULAWESI SELATAN,"Jl. A. Makkasau, Penrang, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91213","Di bawah kepemimpinan Hj. Agustina, Tina Collection menghadirkan Sarung Bantal berkualitas dengan desain yang elegan. Komitmen mereka terhadap kenyamanan dan gaya membuat setiap produk menjadi pilihan yang sempurna untuk rumah Anda.",Production,Hybrid B2B and B2C,4,"7,000,000",-,officialtinacollection@gmail.com
MONALISA CAKE CATERING,https://drive.pastibisa.app/1706021723_65afd35bedc5a.png,JAWA BARAT,"Cireundeu Lebak RT.03/05, Girijaya, Kec. Nagrak, Kabupaten Sukabumi, Jawa Barat 43356","Dipimpin oleh IMAT NAWATI, MONALISA CAKE CATERING dikenal dengan KUE BASAH DAN CAKE yang tidak hanya lezat tetapi juga memanjakan mata. Setiap kue adalah karya seni yang menyenangkan baik lidah maupun pandangan.",FnB,B2C,3,"5,000,000",-,0858-6334-2430
PT SRIKANDI BERKAH HASANAH,https://drive.pastibisa.app/1706021697_65afd3416606b.png,JAWA BARAT,"Cibubur, Rukan Food Plaza Street No.35, Cikeas Udik, Gunung Putri, Bogor,16966","Di bawah arahan ENUNG HASANAH SPDI, PT SRIKANDI BERKAH HASANAH telah membawa dunia KOPI BUBUK dengan rasa yang kaya dan aroma yang memikat. Komitmen mereka terhadap kualitas telah menjadikan mereka pilihan utama bagi para penikmat kopi.",FnB,Hybrid B2B and B2C,9,"10,000,000",-,(021) 22886742
Iwat Craft,https://drive.pastibisa.app/1706021670_65afd32695c37.png,LAMPUNG,"Komplek Perumahan Kantor Direksi PTPN VII LK II RT 002, Kel. Kedaton, Kec. Kedaton, Kab. Bandar lampung","Dipimpin oleh Nurni Suhendra Wati, S.E, menghadirkan aksesoris yang dirancang untuk melengkapi keunikan setiap individu. Setiap produk dibuat dengan sentuhan personal, menonjolkan kerajinan dan estetika tinggi.",Production,B2C,2,"5,000,000",-,0852-7368-5013
Fajar Batik Tulis,https://drive.pastibisa.app/1706021592_65afd2d81fc2f.png,LAMPUNG,"Jl. Perkutut, Pinang Jaya, Kec. Kemiling, Kota Bandar Lampung, Lampung 35153","Fajar Batik Tulis di bawah kepemimpinan Suratini menawarkan koleksi pakaian batik tulis yang elegan. Dengan menggabungkan tradisi dan modernitas, Fajar Batik Tulis memastikan setiap lembaran kainnya mengisahkan kekayaan budaya.",Fashion,B2C,1,"7,500,000",-,0812-4868-894
Ulie Arrjev,https://drive.pastibisa.app/1706021619_65afd2f340c81.png,LAMPUNG,"Jl. Pagar Alam Gg. Pubian 2 No.40, Segala Mider, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung","Ulie Arrjev, dipimpin oleh Zurmalita, SPT, menawarkan minuman yang menyegarkan dan inovatif. Dibuat dari bahan-bahan berkualitas, setiap tegukan memberikan sensasi yang memuaskan dan menyehatkan.",FnB,B2C,6,"9,000,000",-,0821-7353-8117
Rengginang Cumbuy,https://drive.pastibisa.app/1706021462_65afd2562464b.png,LAMPUNG,"Wayhui RT 002 RW 009 Desa Wiyono, KAB. PESAWARAN , Prov. LAMPUNG","Rengginang Cumbuy oleh Siti Rohimah menyajikan variasi makanan ringan yang gurih. Menggunakan resep tradisional, setiap kudapan dibuat untuk memanjakan lidah dengan rasa otentik.",FnB,B2C,4,"7,500,000",-,0823-8034-8772
EROS COFFEE COMUNITY,https://drive.pastibisa.app/1706021399_65afd217ac40e.png,NUSA TENGGARA BARAT,"RT.01/RW.01, Kananga, Bolo, Bima Regency, West Nusa Tenggara 84161","EROS COFFEE COMUNITY, dipimpin oleh Rahmat Subhan, menawarkan kopi Eros yang kaya rasa. Dengan biji kopi pilihan dan pengolahan yang sempurna, setiap cangkir kopi menjanjikan pengalaman yang tak terlupakan.",FnB,Hybrid B2B and B2C,4,"10,000,000",-,0823-4086-1569
UD. KABAR BUMI,https://drive.pastibisa.app/1706021434_65afd23a933d5.png,NUSA TENGGARA BARAT,"Gang.Mesjid At Taqwa Lingk. Bosok, Menala, Kec. Taliwang, Kabupaten Sumbawa Barat, Nusa Tenggara Bar. 84455","UD. KABAR BUMI yang dipimpin oleh Marni Sulastri, S.H, spesialis dalam produksi greng yang berkualitas. Setiap butiran greng diproduksi dengan standar tinggi untuk menjaga kualitas dan keaslian rasa.",FnB,B2C,4,"10,000,000",-,0822-3685-9575
Kripik Pisang Callista,https://drive.pastibisa.app/1706021355_65afd1eb67b28.png,JAWA TIMUR," Kelurahan Gg. Bujel 1 No.14, RT02 RW02, Kec. Mojoroto, Kabupaten Kediri, Jawa Timur 64113","Kripik Pisang Callista, di bawah kepemimpinan Tri Yuliastuti, menawarkan keripik pisang yang renyah dan lezat. Dengan bahan-bahan pilihan dan proses pembuatan yang higienis, snack ini menjadi pilihan tepat untuk menemani waktu santai Anda.",FnB,Hybrid B2B and B2C,2,"9,750,000",-,0838-4620-4660
GAWAH DAYA COFFEE,https://drive.pastibisa.app/1706021323_65afd1cb4a37c.png,NUSA TENGGARA BARAT,"Jl. Sesait, Sesait, Kec. Kayangan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353",GAWAH DAYA COFFEE oleh Wisnu Supangga menyajikan bubuk kopi yang berkualitas. Setiap butiran kopi dipilih dengan teliti dan diolah secara profesional untuk menghasilkan aroma dan rasa kopi terbaik.,FnB,Hybrid B2B and B2C,8,"8,000,000",-,0877-0337-5085
ASSYIFA KUE,https://drive.pastibisa.app/1706021289_65afd1a960786.png,NUSA TENGGARA BARAT,"Jalan Pendidikan Dusun Karang Tunggul, Anyar, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354","ASSYIFA KUE oleh Suhaibatul Aslamiah menawarkan kue tar yang lezat. Dibuat dengan resep tradisional dan bahan-bahan pilihan, kue tar ini siap menyempurnakan momen spesial Anda dengan rasa yang lembut dan memanjakan.",FnB,B2C,1,"6,000,000",-,0878-5990-9797
JAJAQ BAYAN,https://drive.pastibisa.app/1706002059_65af868b731f4.png,NUSA TENGGARA BARAT,"Jalan Raya, Bayan, Lombok, West Nusa Tenggara 83354","JAJAQ BAYAN dipimpin oleh Raden Efta Natasa Putra menyediakan kain tenun berkualitas. Dengan menggabungkan warisan budaya dan teknik tenun modern, setiap lembar kain tenun menghadirkan keindahan dan keeleganan yang tiada tara.",Textile,B2C,12,"10,000,000",-,0819-0715-2407
SALAM RINJANI COFFEE,https://drive.pastibisa.app/1706002114_65af86c27d3e2.png,NUSA TENGGARA BARAT,"Jl. Pariwisata, tumpang sari, Senaru, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354","SALAM RINJANI COFFEE, dipimpin oleh Yuliandri Ahwan, menawarkan bubuk kopi Robusta berkualitas tinggi. Setiap butiran kopi dipilih secara teliti untuk memberikan aroma dan rasa yang khas bagi pecinta kopi.",FnB,Hybrid B2B and B2C,2,"5,000,000",-,0878-4687-7226
Yora Snack,https://drive.pastibisa.app/1706002025_65af8669e2d26.png,RIAU,Jln Sukakarya panam pekanbaru,"Yora Snack, di bawah kepemimpinan Gusniati, mengkhususkan diri dalam produksi snack yang dapat disesuaikan sesuai kebutuhan spesifik pelanggan. Kami menjamin kepuasan setiap pesanan dengan pelayanan yang detail dan personal.",FnB,B2C,2,"5,000,000",-,0822-8545-3724
Andara Food,https://drive.pastibisa.app/1706001998_65af864e294b9.png,SULAWESI TENGAH,SULAWESI TENGAH,"Andara Food, yang dijalankan oleh Zurmalita, SPT, menawarkan berbagai minuman segar yang dirancang untuk menyegarkan dan menyenangkan hari Anda. Setiap minuman kami adalah perpaduan sempurna antara kualitas dan cita rasa.",FnB,B2C,3,"5,000,000",-,0812-5277-0025
CV. Azzahrah,https://drive.pastibisa.app/1706001966_65af862ed3817.png,SULAWESI SELATAN,"Jenetallasa, Pallangga, Kab. Gowa, 92161","CV. Azzahrah, dipimpin oleh Ibnu, merupakan produsen aluminium terpercaya yang menjamin kualitas dan kekuatan dalam setiap produknya. Kami berkomitmen untuk menyediakan solusi aluminium yang inovatif dan tahan lama.",Production,Hybrid B2B and B2C,81,"5,000,000",-,(0411) 8214412
Ibalidi Petshop,https://drive.pastibisa.app/1706001936_65af8610be746.png,KEPULAUAN BANGKA BELITUNG,"Jalan Pahlawan No.12, Keramat, Rangkui, Kota Pangkal Pinang, 33684","Ibalidi Petshop, di bawah bimbingan Dalila, menyediakan pilihan makanan dan pelet kucing yang berkualitas untuk memastikan kesehatan dan kebahagiaan hewan peliharaan Anda. Kami percaya bahwa nutrisi yang tepat adalah kunci kebahagiaan hewan peliharaan.",Petshop,B2C,3,"4,500,000",-,0813-7394-5582
Widya Art,https://drive.pastibisa.app/1706001912_65af85f8cc4b5.png,SULAWESI SELATAN,"Jl Ratulangi No 202, Kecamatan Wara Utara. Kota Palopo","Widya Art, yang dipimpin oleh Muhammad Tahir, menawarkan kerajinan tangan yang unik dan estetis. Setiap karya merupakan perpaduan antara seni tradisional dan inovasi modern, menciptakan produk yang tidak hanya indah tapi juga memiliki nilai.",Production,Hybrid B2B and B2C,4,"7,000,000",-,0813-4355-6409
Wulandari Handmade,https://drive.pastibisa.app/1706001884_65af85dc47448.png,LAMPUNG,"Jl. Veteran No.06, Hadimulyo Bar., Kec. Metro Pusat, Kota Metro, Lampung 34111","Wulandari Handmade, dipimpin oleh Gesti Ayu S Wulandari, spesialis dalam produk tapis turunan yang autentik. Kami bangga dalam melestarikan warisan budaya melalui setiap produk buatan tangan kami.",Production,Hybrid B2B and B2C,3,"10,000,000",-,0852-6998-6999
Dwi Jaya,https://drive.pastibisa.app/1706001851_65af85bba8a5f.png,JAWA TENGAH,"Jl. Pramuka No.136, Kongsen, Purwokerto Kulon, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53141","Dwi Jaya, yang dikomandoi oleh Mulyadi Gunawan, adalah nama terpercaya dalam industri kain. Kami menawarkan kain berkualitas tinggi dengan pilihan yang beragam untuk memenuhi kebutuhan fashion dan tekstil Anda.",Textile,B2C,7,"9,900,000",-,0813-9033-6378
Martabak Tegal Markicob,https://drive.pastibisa.app/1706001759_65af855f9f954.png,SULAWESI UTARA,"Jl. Arnold Mononutu, Wanea, Kec. Wanea, Kota Manado, Sulawesi Utara 95115","Martabak Tegal Markicob, di bawah arahan Safrianto Polomulo, menyajikan martabak yang lezat dengan berbagai pilihan rasa. Kami berkomitmen untuk menyajikan martabak yang tidak hanya menggugah selera tetapi juga memberikan pengalaman makan yang tak terlupakan.",FnB,B2C,2,"8,000,000",-,0852-2947-2438
Toko Bu Maryani,https://drive.pastibisa.app/1705993231_65af640fd4090.png,JAWA TENGAH,"Jl. Karang, Kebondalem, Paseban, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57411","Toko Bu Maryani, yang dijalankan oleh Maryani, menyediakan aneka sembako berkualitas tinggi. Kami berdedikasi untuk menyediakan produk sehari-hari yang segar dan terjangkau untuk memenuhi kebutuhan keluarga Anda.",Retail,B2C,3,"10,000,000",-,0857-2743-0897
EMA CELL,https://drive.pastibisa.app/1705993218_65af6402c7659.png,DKI JAKARTA,"Jl. Pulo Nangka Timur III No.2 6, RT.6/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260","EMA CELL, di bawah kepemimpinan Ema Murni, berkomitmen menyediakan pulsa berkualitas untuk memenuhi kebutuhan komunikasi Anda. Kami berdedikasi untuk memberikan layanan terbaik dan tercepat.",Electronic,B2C,1,"9,500,000",-,0815-7428-5257
Kitchen of Iney,https://drive.pastibisa.app/1705993208_65af63f88556e.png,KALIMANTAN TIMUR,"Jl. Drs H. Anang Hasyim Komp. Kehutanan Blok F2 No.14 RT.20, Kota Samarinda, Kalimantan Timur 75124","Kitchen of Iney, pimpinan Yenni Rosmala, adalah surga bagi pencinta bolu chiffon. Setiap bolu dibuat dengan penuh kasih, memastikan kelezatan di setiap suapannya.",FnB,B2C,1,"5,000,000",-,0811-5512-200
TOKO OLEH OLEH SUKAMARA AR,https://drive.pastibisa.app/1705993196_65af63ecc6c6a.png,KALIMANTAN TENGAH,"Jl ahmidi rt/rw 11/04, Mendawai, Kec. Sukamara, Kabupaten Sukamara, Kalimantan Tengah 74172","TOKO OLEH OLEH SUKAMARA AR, yang dipimpin oleh Heny Agustina, menawarkan aneka kerupuk kering, kerupuk basah, dan amplang. Produk kami diproses dengan higienis dan bahan berkualitas untuk memastikan kepuasan pelanggan.",Retail,B2C,3,"5,000,000",-,0852-4854-5656
OENTOENG SEMBAKO,https://drive.pastibisa.app/1705993186_65af63e25da94.png,YOGYAKARTA,"Mertosanan Wetan, Potorono, Banguntapan, Bantul Regency, Special Region of Yogyakarta 55194","OENTOENG SEMBAKO, di bawah arahan Nur Lailatul Fatmawati, menyediakan sembako berkualitas tinggi. Kami berkomitmen untuk mendukung kebutuhan sehari-hari keluarga Anda dengan produk yang terjangkau dan terpercaya.",Retail,B2B,3,"10,000,000",-,0857-0660-7004
Lily Colection,https://drive.pastibisa.app/1705993109_65af63957ad2e.png,YOGYAKARTA,"Pusat Grosir Metro Beringharjo, Jl. Pabringan B1 67, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Lily Collection, yang dipimpin oleh Siti Masamah, menawarkan tas fashion yang trendi dan berkualitas. Setiap produk kami dirancang untuk meningkatkan gaya dan kenyamanan Anda.",Fashion,B2C,1,"2,000,000",-,0817-5034-281
BAROKAH COLLECTIONS,https://drive.pastibisa.app/1705993097_65af63891f71d.png,YOGYAKARTA,"Pusat Grosir Metro Beringharjo, Jalan Pabringan Blok C2 No.1 Lt.2 PB I, No.073, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","BAROKAH COLLECTIONS, di bawah kepemimpinan Siti Nuriyah, menyediakan tas rajut/goni yang unik dan tahan lama. Kami berdedikasi untuk menyediakan produk yang tidak hanya bergaya tetapi juga ramah lingkungan.",Fashion,B2C,2,"10,000,000",-,officialbarokahcollection@gmail.com
Warung Rahma,https://drive.pastibisa.app/1705993085_65af637d6d8a0.png,SULAWESI TENGAH,"Tanamodindi, Mantikulore,  Kota Palu, Sulawesi Tengah","Warung Rahma, dipimpin oleh Frengky Labedi, adalah tempat terbaik untuk menikmati Nasi Ayam Crispy dan Geprek. Setiap hidangan disiapkan dengan cinta, memastikan rasa yang tak terlupakan.",FnB,B2C,2,"5,000,000",-,0852-5587-7059
Central Madu,https://drive.pastibisa.app/1705993051_65af635b4e5b2.png,LAMPUNG,"Jl. P. Tirtayasa, Sukabumi, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122","Central Madu, di bawah arahan Naufal Halim, berkomitmen untuk menyediakan madu murni dan alami. Kami percaya dalam menyediakan produk kesehatan yang berkualitas untuk pelanggan kami.",Farms,B2C,2,"10,000,000",-,0822-1718-9767
Ayam Panggang Kaoeman,https://drive.pastibisa.app/1705993018_65af633a363a8.png,JAWA TENGAH,"Jl. Cakra IV No.3a, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57122","Ayam Panggang Kaoeman, yang dipimpin oleh Kras Arizal, menawarkan ayam panggang yang lezat dengan rempah-rempah pilihan. Kami berdedikasi untuk menyajikan hidangan yang akan memuaskan lidah Anda.",FnB,Hybrid B2B and B2C,2,"9,500,000",-,0877-8101-6999
Kedai Kopi Rakula,https://drive.pastibisa.app/1705992951_65af62f799c5c.png,JAWA TENGAH,"Jl. Jumantono - Genengan No.16, Sidoharjo, Ngadiluwih, Kec. Matesih, Kabupaten Karanganyar, Jawa Tengah 57781","Kedai Kopi Rakula, di bawah kepemimpinan Nur Sad Achmad Idhom, adalah surga bagi pecinta kopi. Dengan Kopi Tubruk Chocolate dan V Drip yang kaya rasa, setiap tegukan menjanjikan pengalaman yang tak terlupakan.",FnB,B2C,1,"10,000,000",-,kedaikopirakulaofficial@gmail.com
Kios Rilly,https://drive.pastibisa.app/1705992926_65af62ded88a2.png,SULAWESI UTARA,"Kema Satu, Kema, Minahasa Utara, Sulawesi Utara","Kios Rilly, Dipimpin oleh Rilly Sumual, Kios Rilly menawarkan aneka makanan lezat yang dibuat dengan resep tradisional. Kami berkomitmen untuk menyajikan hidangan yang tidak hanya memuaskan rasa, tapi juga menghangatkan hati setiap pelanggan.",FnB,B2C,3,"5,000,000",-,0812-4644-5375
Stick Ubi Ungu,https://drive.pastibisa.app/1705992885_65af62b542943.png,SUMATERA UTARA,"Jl. Makmur Gg sibaganding No.Kel, Sitamiang Baru, Kec. Padangsidimpuan Sel., Kota Padang Sidempuan, Sumatera Utara 22721","Stick Ubi Ungu Sumarni, pemilik Stick Ubi Ungu, berinovasi dengan ubi ungu, menciptakan snack yang tidak hanya lezat tapi juga bergizi. Stick Ubi kami adalah pilihan sempurna untuk camilan sehat di tengah kesibukan Anda.",FnB,Hybrid B2B and B2C,4,"8,020,000",-,0821-6569-9180
Usa Afri Usaha Kue Bawang Daun Kelor,https://drive.pastibisa.app/1705992856_65af6298d34cb.png,SUMATERA UTARA,"Jl. Ompu Huta Tunjul No.80, Singali, Kec. Padangsidimpuan Hutaimbaru, Kota Padang Sidempuan, Sumatera Utara 22708","Usa Afri Usaha Kue Bawang Daun Kelor, Efridawati Hsb menghadirkan inovasi dalam makanan olahan dengan Kue Bawang Daun Kelor. Kami menggabungkan rasa tradisional dengan nutrisi kelor untuk snack yang sehat dan nikmat.",FnB,B2C,3,"8,500,000",-,0822-7478-9885
D3 COOKIES N SNACKS,https://drive.pastibisa.app/1705992769_65af6241adab6.png,JAMBI,"Prumnas aurduri, blok C 141, Penyengat Rendah, Kec. Telanaipura, Kota Jambi, Jambi 36122","D3 COOKIES N SNACKS, ZURAIDA, ahli kue kering, membawa kreativitas dan rasa lezat dalam setiap gigitan. Di D3 COOKIES N SNACKS, kami yakin bahwa cookie bukan hanya makanan, tapi juga simbol kehangatan rumah.",FnB,Hybrid B2B and B2C,2,"9,500,000",-,0852-6620-0748
KEDAI UMMA KAYYIS,https://drive.pastibisa.app/1705992798_65af625eb0344.png,JAMBI,"Jl. Guntur, Kasang, Kec. Jambi Tim., Kota Jambi, Jambi","KEDAI UMMA KAYYIS, ADELA ANGGRAINI menawarkan Mie Ayam dan Bakso dengan resep warisan keluarga. Di KEDAI UMMA KAYYIS, setiap mangkuk disajikan dengan penuh cinta dan rasa yang otentik.",FnB,Hybrid B2B and B2C,4,"10,000,000",-,0878-6778-6989
FRAN BAKERY,https://drive.pastibisa.app/1705992737_65af62217b2d4.png,JAMBI,"Jl. Sari Bakti, Beliung, Kecamatan alam barajo, Kota Jambi, Jambi 36129","FRAN BAKERY, RAFIKA DEWI memperkenalkan Bolu dan Brownis yang lembut dan lezat. Di FRAN BAKERY, kami menggunakan bahan-bahan pilihan untuk memastikan setiap gigitan membawa kebahagiaan.",FnB,B2C,1,"9,500,000",-,0822-8000-5030
DAPUER BUNDA KEMBAR,https://drive.pastibisa.app/1705992705_65af62018b901.png,JAMBI,"Jln.Prof Jl. Prof. DR. Moh. Yamin No.RT 32, Lb. Bandung, Kec. Jelutung, Kota Jambi, Jambi 36135","DAPUER BUNDA KEMBAR, VINI YUMARDHA ARYA menghidangkan Pempek Palembang autentik yang tak terlupakan. DAPUER BUNDA KEMBAR adalah tempat di mana tradisi dan rasa bertemu.",FnB,B2C,3,"9,800,000",-,0853-6147-5502
RATU DJAMOE,https://drive.pastibisa.app/1705992661_65af61d529acb.png,JAMBI,"Jl. Kutilang 3 Rt.08 No.34, RT.08/RW.00, Tambak Sari, Kec. Jambi Sel., Kota Jambi, Jambi 36139","RATU DJAMOE, IKA ARIYANI menghadirkan Jamu Tradisional, minuman kesehatan khas Indonesia. Di RATU DJAMOE, setiap tetes jamu dibuat dengan bahan alami pilihan untuk kesehatan dan kesejahteraan Anda.",Herbs,B2B,1,"9,500,000",-,Ig: @ratudjamoe_official
Kue Umi Tini,https://drive.pastibisa.app/1705992597_65af61958af57.png,RIAU,"Jl. Proyek baru no 21 , Tj Rhu, Kec.lima Puluh, Kota Pekanbaru, Riau 28143","Kue Umi Tini, Sri Sartini Zakarya mengajak Anda merasakan kelezatan Kue Basah buatan rumah. Di Kue Umi Tini, setiap kue adalah cerminan dari dedikasi dan cinta terhadap kuliner tradisional.",FnB,B2C,1,"4,500,000",-,0823-8227-6067
Warung Makan Bu Joko,https://drive.pastibisa.app/1705992573_65af617dac5f8.png,YOGYAKARTA,"Jl. Gondosuli No.32, Semaki, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166","Warung Makan Bu Joko, Suparjiyem menawarkan berbagai pilihan kuliner nikmat yang akan memanjakan lidah Anda. Di Warung Makan Bu Joko, setiap hidangan adalah perpaduan sempurna antara rasa dan kehangatan rumahan.",FnB,Hybrid B2B and B2C,4,"2,250,000",-,0857-4745-3237
BAKPIA 121,https://drive.pastibisa.app/1705992544_65af6160efa0f.png,YOGYAKARTA,"Jaranan, Panggungharjo, Sewon, Bantul","BAKPIA 121 dipimpin oleh Sri Lestari, menawarkan bakpia autentik dengan cita rasa yang memikat. Keahlian Sri Lestari dalam mengolah bahan-bahan berkualitas menjadikan setiap gigitan bakpia ini kenangan yang tak terlupakan.",FnB,Hybrid B2B and B2C,2,"2,000,000",-,0895-4139-95696
DAWET INYONG “BLOK O”,https://drive.pastibisa.app/1705992492_65af612c8d4a2.png,YOGYAKARTA,"Jl. Raya Janti, Modalan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198","DAWET INYONG “BLOK O” di bawah kepemimpinan Rochmad Kartini, menyajikan dawet tradisional yang menyegarkan. Dengan resep asli dan bahan pilihan, Dawet Inyong menjadi pilihan tepat untuk menemani hari-hari Anda.",FnB,B2C,2,"4,000,000",-,Ig: @dawetinyong
LESEHAN PECEL LELE KANG HAR,https://drive.pastibisa.app/1705992467_65af61134607d.png,YOGYAKARTA,"Jl. Pleret No.18, Bintaran, Potorono, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55196","LESEHAN PECEL LELE KANG HAR yang dijalankan oleh Suharyanto, spesialis dalam hidangan lele, ayam, dan telur. Setiap hidangan disajikan dengan penuh perhatian, memastikan pengalaman bersantap yang memuaskan.",FnB,B2C,3,"5,000,000",-,0838-6986-5513
Kripiku,https://drive.pastibisa.app/1705992437_65af60f501a4e.png,MALUKU,"Jl, Waiheru, Kec. Baguala, Kota Ambon, Maluku 97233","Kripiku oleh Metta Natasyah menawarkan keripik kasbi yang renyah dan penuh rasa. Diproduksi dengan standar tinggi, Kripiku menjamin kepuasan di setiap kemasannya.",FnB,B2C,2,"9,500,000",-,0812-4772-9919
ANGKRINGAN BU EVI,https://drive.pastibisa.app/1705992413_65af60ddb9500.png,YOGYAKARTA,"Gedongkiwo, Mantrijeron, Yogyakarta 55142","ANGKRINGAN BU EVI yang dikelola oleh Evining Dyah Susiloningrum, menyediakan nasi kucing yang lezat dan otentik. Nikmati kehangatan dan kelezatan dalam suasana yang santai dan nyaman.",FnB,B2C,1,"2,000,000",-,Ig: @angkringan_buevi
